accession	encodeDAccession	notes
wgEncodeEH000524	ENCSR000CWJ	
wgEncodeEH000525	ENCSR000CWI	
wgEncodeEH000526	ENCSR000CWH	
wgEncodeEH000527	ENCSR000CWG	
wgEncodeEH000528	ENCSR000DKW	
wgEncodeEH000529	ENCSR000DMB	
wgEncodeEH000530	ENCSR000EKS	
wgEncodeEH000531	ENCSR000DCM	
wgEncodeEH000532	ENCSR000DKV	
wgEncodeEH000533	ENCSR000DBY	
wgEncodeEH000534	ENCSR000EJD	
wgEncodeEH000535	ENCSR000DMA	
wgEncodeEH000536	ENCSR000DLZ	
wgEncodeEH000537	ENCSR000EJV	
wgEncodeEH000538	ENCSR000DLT	
wgEncodeEH000539	ENCSR000DLP	
wgEncodeEH000540	ENCSR000EJT	
wgEncodeEH000541	ENCSR000DLO	
wgEncodeEH000542	ENCSR000DLN	
wgEncodeEH000543	ENCSR000DLS	
wgEncodeEH000544	ENCSR000DCG	
wgEncodeEH000545	ENCSR000DLR	
wgEncodeEH000546	ENCSR000DCH	
wgEncodeEH000547	ENCSR000DKU	
wgEncodeEH000548	ENCSR000EKF	
wgEncodeEH000549	ENCSR000DCJ	
wgEncodeEH000550	ENCSR000DLX	
wgEncodeEH000551	ENCSR000DLW	
wgEncodeEH000552	ENCSR000DLV	
wgEncodeEH000553	ENCSR000ELH	
wgEncodeEH000554	ENCSR000DLQ	
wgEncodeEH000555	ENCSR000DLY	
wgEncodeEH000556	ENCSR000EJN	
wgEncodeEH000557	ENCSR000DCD	
wgEncodeEH000558	ENCSR000DCY	
wgEncodeEH000559	ENCSR000DNC	
wgEncodeEH000560	ENCSR000DLK	
wgEncodeEH000561	ENCSR000DLU	
wgEncodeEH000562	ENCSR000DKY	
wgEncodeEH000563	ENCSR000DLJ	
wgEncodeEH000564	ENCSR000EJE	
wgEncodeEH000565	ENCSR000EJF	
wgEncodeEH000566	ENCSR000EJJ	
wgEncodeEH000567	ENCSR000EJK	
wgEncodeEH000568	ENCSR000EJL	
wgEncodeEH000569	ENCSR000DKX	
wgEncodeEH000570	ENCSR000DLD	
wgEncodeEH000571	ENCSR000DLE	
wgEncodeEH000572	ENCSR000DLF	
wgEncodeEH000573	ENCSR000DDA	
wgEncodeEH000574	ENCSR000ELA	
wgEncodeEH000575	ENCSR000ELL	
wgEncodeEH000576	ENCSR000ELN	
wgEncodeEH000577	ENCSR000EJS	
wgEncodeEH000579	ENCSR000EKZ	
wgEncodeEH000580	ENCSR000DCC	
wgEncodeEH000581	ENCSR000EJI	
wgEncodeEH000583	ENCSR000EIQ	
wgEncodeEH000584	ENCSR000EJY	
wgEncodeEH000585	ENCSR000EKB	
wgEncodeEH000586	ENCSR000DCB	
wgEncodeEH000587	ENCSR000DCF	
wgEncodeEH000588	ENCSR000DCE	
wgEncodeEH000589	ENCSR000DMW	
wgEncodeEH000592	ENCSR000DKT	
wgEncodeEH000593	ENCSR000DNH	
wgEncodeEH000594	ENCSR000EJP	
wgEncodeEH000595	ENCSR000EIL	
wgEncodeEH000596	ENCSR000DLI	
wgEncodeEH000597	ENCSR000DLM	
wgEncodeEH000598	ENCSR000DMV	
wgEncodeEH000599	ENCSR000DMU	
wgEncodeEH000600	ENCSR000DNG	
wgEncodeEH000601	ENCSR000EIH	
wgEncodeEH000602	ENCSR000ELD	
wgEncodeEH000603	ENCSR000ELF	
wgEncodeEH000604	ENCSR000DCX	
wgEncodeEH000605	ENCSR000EIU	
wgEncodeEH000606	ENCSR000DNF	
wgEncodeEH000609	ENCSR868RFZ	
wgEncodeEH000610	ENCSR243TRN	
wgEncodeEH000611	ENCSR000EZN	
wgEncodeEH000612	ENCSR000EZM	
wgEncodeEH000613	ENCSR000EZL	
wgEncodeEH000614	ENCSR000EZK	
wgEncodeEH000615	ENCSR000FAK	
wgEncodeEH000616	ENCSR000FAJ	
wgEncodeEH000617	ENCSR000FAM	
wgEncodeEH000618	ENCSR000FAL	
wgEncodeEH000619	ENCSR000FAI	
wgEncodeEH000620	ENCSR000FAH	
wgEncodeEH000621	ENCSR000FAG	
wgEncodeEH000622	ENCSR000EYZ	
wgEncodeEH000623	ENCSR000EYY	
wgEncodeEH000624	ENCSR000FAF	
wgEncodeEH000625	ENCSR000EYX	
wgEncodeEH000626	ENCSR000EYW	
wgEncodeEH000627	ENCSR000EUX	
wgEncodeEH000629	ENCSR000EUV	
wgEncodeEH000630	ENCSR000EWN	
wgEncodeEH000631	ENCSR000EZB	
wgEncodeEH000632	ENCSR000EZA	
wgEncodeEH000633	ENCSR000EZJ	
wgEncodeEH000634	ENCSR000EZI	
wgEncodeEH000635	ENCSR000EZH	
wgEncodeEH000636	ENCSR000EZG	
wgEncodeEH000637	ENCSR000FAE	
wgEncodeEH000638	ENCSR000EWM	
wgEncodeEH000639	ENCSR000EYV	
wgEncodeEH000640	ENCSR000EZR	
wgEncodeEH000641	ENCSR000EZQ	
wgEncodeEH000642	ENCSR000EZP	
wgEncodeEH000643	ENCSR000EZO	
wgEncodeEH000645	ENCSR000EYU	
wgEncodeEH000646	ENCSR000EZF	
wgEncodeEH000647	ENCSR000EZE	
wgEncodeEH000648	ENCSR000EZD	
wgEncodeEH000649	ENCSR000FAD	
wgEncodeEH000650	ENCSR000FAC	
wgEncodeEH000651	ENCSR000EUU	
wgEncodeEH000652	ENCSR000EXH	
wgEncodeEH000653	ENCSR000EXG	
wgEncodeEH000654	ENCSR000EXF	
wgEncodeEH000655	ENCSR000FAB	
wgEncodeEH000656	ENCSR000FAA	
wgEncodeEH000657	ENCSR000FBB	
wgEncodeEH000658	ENCSR000FBA	
wgEncodeEH000659	ENCSR000FAZ	
wgEncodeEH000660	ENCSR000FAY	
wgEncodeEH000661	ENCSR000FAX	
wgEncodeEH000662	ENCSR000FAW	
wgEncodeEH000663	ENCSR000FAV	
wgEncodeEH000664	ENCSR000FAU	
wgEncodeEH000665	ENCSR000FAT	
wgEncodeEH000666	ENCSR000FBC	
wgEncodeEH000667	ENCSR000EZX	
wgEncodeEH000668	ENCSR000EZW	
wgEncodeEH000669	ENCSR000EZV	
wgEncodeEH000670	ENCSR000EZU	
wgEncodeEH000671	ENCSR000EWL	
wgEncodeEH000672	ENCSR000EWK	
wgEncodeEH000673	ENCSR000EZT	
wgEncodeEH000674	ENCSR000EVT	
wgEncodeEH000675	ENCSR000EVS	
wgEncodeEH000676	ENCSR000EWJ	
wgEncodeEH000677	ENCSR000EWI	
wgEncodeEH000678	ENCSR000DOK	
wgEncodeEH000679	ENCSR000DOJ	
wgEncodeEH000680	ENCSR000DOI	
wgEncodeEH000681	ENCSR000DOH	
wgEncodeEH000682	ENCSR000EWH	
wgEncodeEH000683	ENCSR000EWG	
wgEncodeEH000684	ENCSR000EWF	
wgEncodeEH000685	ENCSR000EVP	
wgEncodeEH000686	ENCSR000EVO	
wgEncodeEH000687	ENCSR000EVN	
wgEncodeEH000688	ENCSR000EVM	
wgEncodeEH000689	ENCSR000EVL	
wgEncodeEH000690	ENCSR000EAG	
wgEncodeEH000692	ENCSR000EVK	
wgEncodeEH000693	ENCSR000EWX	
wgEncodeEH000694	ENCSR000EHQ	
wgEncodeEH000695	ENCSR000EUM	
wgEncodeEH000696	ENCSR000EWE	
wgEncodeEH000697	ENCSR000EUL	
wgEncodeEH000698	ENCSR000DNQ	
wgEncodeEH000699	ENCSR000EVJ	
wgEncodeEH000700	ENCSR000DOG	
wgEncodeEH000701	ENCSR000DOF	
wgEncodeEH000702	ENCSR000EFB	
wgEncodeEH000703	ENCSR000DOE	
wgEncodeEH000704	ENCSR000EHP	
wgEncodeEH000705	ENCSR000DYO	
wgEncodeEH000706	ENCSR000EAF	
wgEncodeEH000708	ENCSR000EAD	
wgEncodeEH000709	ENCSR000EAK	
wgEncodeEH000710	ENCSR000EAJ	
wgEncodeEH000711	ENCSR000EAO	
wgEncodeEH000712	ENCSR000EAN	
wgEncodeEH000713	ENCSR000EAS	
wgEncodeEH000714	ENCSR000EAR	
wgEncodeEH000715	ENCSR000EAW	
wgEncodeEH000716	ENCSR000EBA	
wgEncodeEH000717	ENCSR000EBI	
wgEncodeEH000718	ENCSR000EBM	
wgEncodeEH000719	ENCSR000EFA	
wgEncodeEH000720	ENCSR000EDM	
wgEncodeEH000721	ENCSR000EDL	
wgEncodeEH000722	ENCSR000EDK	
wgEncodeEH000723	ENCSR000EDJ	
wgEncodeEH000724	ENCSR000EHO	
wgEncodeEH000725	ENCSR000EHN	
wgEncodeEH000726	ENCSR000EHM	
wgEncodeEH000727	ENCSR000EHL	
wgEncodeEH000728	ENCSR000DYN	
wgEncodeEH000729	ENCSR000EAM	
wgEncodeEH000730	ENCSR000EAV	
wgEncodeEH000731	ENCSR000EAU	
wgEncodeEH000732	ENCSR000EAZ	
wgEncodeEH000733	ENCSR000EAY	
wgEncodeEH000734	ENCSR000DYM	
wgEncodeEH000735	ENCSR000EAI	
wgEncodeEH000736	ENCSR000EAQ	
wgEncodeEH000737	ENCSR000EBE	
wgEncodeEH000738	ENCSR000EBD	
wgEncodeEH000739	ENCSR000EBC	
wgEncodeEH000740	ENCSR000EBH	
wgEncodeEH000741	ENCSR000EBG	
wgEncodeEH000742	ENCSR000EBL	
wgEncodeEH000743	ENCSR000EBK	
wgEncodeEH000744	ENCSR000EDI	
wgEncodeEH000745	ENCSR000EDH	
wgEncodeEH000746	ENCSR000EDG	
wgEncodeEH000747	ENCSR000DNY	
wgEncodeEH000748	ENCSR000DOD	
wgEncodeEH000749	ENCSR000EAC	
wgEncodeEH000750	ENCSR000EEX	
wgEncodeEH000751	ENCSR000EEW	
wgEncodeEH000752	ENCSR000EEV	
wgEncodeEH000753	ENCSR000EEU	
wgEncodeEH000754	ENCSR000EET	
wgEncodeEH000755	ENCSR000EES	
wgEncodeEH000756	ENCSR000EER	
wgEncodeEH000757	ENCSR000EEQ	
wgEncodeEH000758	ENCSR000EEP	
wgEncodeEH000759	ENCSR000EEO	
wgEncodeEH000760	ENCSR000EHK	
wgEncodeEH000761	ENCSR000EHJ	
wgEncodeEH000762	ENCSR000EWW	
wgEncodeEH000763	ENCSR000DNX	
wgEncodeEH000764	ENCSR000DNW	
wgEncodeEH000765	ENCSR000DNV	
wgEncodeEH000766	ENCSR000DNU	
wgEncodeEH000767	ENCSR000DOC	
wgEncodeEH000768	ENCSR000EEZ	
wgEncodeEH000769	ENCSR000EWD	
wgEncodeEH000770	ENCSR000DYL	
wgEncodeEH000771	ENCSR000EAB	
wgEncodeEH000772	ENCSR000EAH	
wgEncodeEH000773	ENCSR000EAL	
wgEncodeEH000774	ENCSR000EAP	
wgEncodeEH000775	ENCSR000EAT	
wgEncodeEH000776	ENCSR000EAX	
wgEncodeEH000777	ENCSR000EBB	
wgEncodeEH000778	ENCSR000EBF	
wgEncodeEH000779	ENCSR000EBJ	
wgEncodeEH000780	ENCSR000EZS	
wgEncodeEH000781	ENCSR000EZC	
wgEncodeEH000793	ENCSR000CWZ	
wgEncodeEH000794	ENCSR000CWY	
wgEncodeEH000795	ENCSR000CWX	
wgEncodeEH000796	ENCSR000CWW	
wgEncodeEH000797	ENCSR000CWV	
wgEncodeEH000798	ENCSR000CWU	
wgEncodeEH000799	ENCSR000CWT	
wgEncodeEH000800	ENCSR000CWS	
wgEncodeEH000801	ENCSR000DAG	
wgEncodeEH000802	ENCSR000DAF	
wgEncodeEH000803	ENCSR000DAE	
wgEncodeEH000804	ENCSR000DAD	
wgEncodeEH000805	ENCSR000DAC	
wgEncodeEH000806	ENCSR000DAB	
wgEncodeEH000807	ENCSR000DAA	
wgEncodeEH000808	ENCSR000CZZ	
wgEncodeEH000809	ENCSR000CZY	
wgEncodeEH000810	ENCSR000CZX	
wgEncodeEH000811	ENCSR000CZW	
wgEncodeEH000812	ENCSR000CZV	
wgEncodeEH000813	ENCSR000CZU	
wgEncodeEH000814	ENCSR000CZT	
wgEncodeEH000815	ENCSR000CZS	
wgEncodeEH000816	ENCSR000CZR	
wgEncodeEH000817	ENCSR000CZQ	
wgEncodeEH000818	ENCSR000CZP	
wgEncodeEH000819	ENCSR000CZO	
wgEncodeEH000820	ENCSR000CZN	
wgEncodeEH000821	ENCSR000CZM	
wgEncodeEH000822	ENCSR000CZL	
wgEncodeEH000823	ENCSR000CZK	
wgEncodeEH000824	ENCSR000CZJ	
wgEncodeEH000825	ENCSR000CZI	
wgEncodeEH000826	ENCSR000CZH	
wgEncodeEH000827	ENCSR000CZG	
wgEncodeEH000828	ENCSR000CZF	
wgEncodeEH000829	ENCSR000CZE	
wgEncodeEH000830	ENCSR000CZD	
wgEncodeEH000831	ENCSR000CZC	
wgEncodeEH000832	ENCSR000CZB	
wgEncodeEH000833	ENCSR000CZA	
wgEncodeEH000834	ENCSR000EMZ	
wgEncodeEH000835	ENCSR000END	
wgEncodeEH000836	ENCSR000ENL	
wgEncodeEH000837	ENCSR000ENW	
wgEncodeEH000838	ENCSR000ENY	
wgEncodeEH000839	ENCSR000EPO	
wgEncodeEH000840	ENCSR000EQA	
wgEncodeEH000841	ENCSR000EMC	
wgEncodeEH000842	ENCSR000EOH	
wgEncodeEH000843	ENCSR000EOI	
wgEncodeEH000844	ENCSR000EOJ	
wgEncodeEH000845	ENCSR000EOK	
wgEncodeEH000846	ENCSR000EPM	
wgEncodeEH000847	ENCSR000EPX	
wgEncodeEH000853	ENCSR000BWA	
wgEncodeEH000854	ENCSR000BWB	
wgEncodeEH000855	ENCSR000BWC	
wgEncodeEH000856	ENCSR000BWD	
wgEncodeEH000857	ENCSR000BWE	
wgEncodeEH000858	ENCSR000BWF	
wgEncodeEH000859	ENCSR000BWG	
wgEncodeEH000860	ENCSR000BWH	
wgEncodeEH000861	ENCSR000BWI	
wgEncodeEH000862	ENCSR000BWJ	
wgEncodeEH000863	ENCSR000BWK	
wgEncodeEH000864	ENCSR000BWL	
wgEncodeEH000865	ENCSR000BWM	
wgEncodeEH000866	ENCSR000BWN	
wgEncodeEH000867	ENCSR000BWO	
wgEncodeEH000868	ENCSR000BWP	
wgEncodeEH000869	ENCSR000BWQ	
wgEncodeEH000870	ENCSR000BWR	
wgEncodeEH000871	ENCSR000BWS	
wgEncodeEH000872	ENCSR000BWT	
wgEncodeEH000873	ENCSR000BWU	
wgEncodeEH000874	ENCSR000BWV	
wgEncodeEH000875	ENCSR000BWW	
wgEncodeEH000876	ENCSR000BWX	
wgEncodeEH000877	ENCSR000BWY	
wgEncodeEH000878	ENCSR000BWZ	
wgEncodeEH000879	ENCSR000BXA	
wgEncodeEH000885	ENCSR000ABT	
wgEncodeEH000886	ENCSR000ABO	
wgEncodeEH000887	ENCSR000ACC	
wgEncodeEH000888	ENCSR000ACP	
wgEncodeEH000889	ENCSR000ACB	
wgEncodeEH000890	ENCSR000ACG	
wgEncodeEH000891	ENCSR000ABL	
wgEncodeEH000892	ENCSR000ACR	
wgEncodeEH000893	ENCSR000ABH	
wgEncodeEH000894	ENCSR000ABZ	
wgEncodeEH000895	ENCSR000ABB	
wgEncodeEH000896	ENCSR000ADB	
wgEncodeEH000897	ENCSR000ACV	
wgEncodeEH000898	ENCSR000ACE	
wgEncodeEH000899	ENCSR000AAY	
wgEncodeEH000900	ENCSR000ABQ	
wgEncodeEH000901	ENCSR000ACT	
wgEncodeEH000902	ENCSR000ACA	
wgEncodeEH000903	ENCSR000ABE	
wgEncodeEH000904	ENCSR000ACL	
wgEncodeEH000905	ENCSR000ACY	
wgEncodeEH000906	ENCSR000ACN	
wgEncodeEH000907	ENCSR000ABP	
wgEncodeEH000908	ENCSR000EXE	
wgEncodeEH000909	ENCSR000EXD	
wgEncodeEH000910	ENCSR000EXC	
wgEncodeEH000911	ENCSR000EWC	
wgEncodeEH000912	ENCSR000EWB	
wgEncodeEH000913	ENCSR000EWA	
wgEncodeEH000914	ENCSR000EVZ	
wgEncodeEH000915	ENCSR000EXB	
wgEncodeEH000916	ENCSR000EYG	
wgEncodeEH000917	ENCSR000EXA	
wgEncodeEH000918	ENCSR000EWZ	
wgEncodeEH000919	ENCSR000EYF	
wgEncodeEH000920	ENCSR000EYE	
wgEncodeEH000921	ENCSR000CXQ	
wgEncodeEH000922	ENCSR000CXP	
wgEncodeEH000923	ENCSR000DST	
wgEncodeEH000924	ENCSR000DSS	
wgEncodeEH000925	ENCSR000DSR	
wgEncodeEH000926	ENCSR000DSQ	
wgEncodeEH000927	ENCSR000DPI	
wgEncodeEH000928	ENCSR000DPH	
wgEncodeEH000929	ENCSR000DPO	
wgEncodeEH000930	ENCSR000DPN	
wgEncodeEH000931	ENCSR000DPR	
wgEncodeEH000932	ENCSR000DPQ	
wgEncodeEH000933	ENCSR000DPU	
wgEncodeEH000934	ENCSR000DPT	
wgEncodeEH000935	ENCSR000DPX	
wgEncodeEH000936	ENCSR000DPW	
wgEncodeEH000937	ENCSR000DQA	
wgEncodeEH000938	ENCSR000DPZ	
wgEncodeEH000939	ENCSR000DTC	
wgEncodeEH000940	ENCSR000DTB	
wgEncodeEH000941	ENCSR000DTE	
wgEncodeEH000942	ENCSR000DTD	
wgEncodeEH000943	ENCSR000DTH	
wgEncodeEH000944	ENCSR000DTG	
wgEncodeEH000945	ENCSR000DTK	
wgEncodeEH000946	ENCSR000DTJ	
wgEncodeEH000947	ENCSR000DTN	
wgEncodeEH000948	ENCSR000DTM	
wgEncodeEH000949	ENCSR000DTQ	
wgEncodeEH000950	ENCSR000DTP	
wgEncodeEH000951	ENCSR000DTT	
wgEncodeEH000952	ENCSR000DTS	
wgEncodeEH000953	ENCSR000DTU	
wgEncodeEH000954	ENCSR000DUQ	
wgEncodeEH000955	ENCSR000DUW	
wgEncodeEH000956	ENCSR000DUV	
wgEncodeEH000957	ENCSR000DUZ	
wgEncodeEH000958	ENCSR000DUY	
wgEncodeEH000959	ENCSR000DVC	
wgEncodeEH000960	ENCSR000DVB	
wgEncodeEH000961	ENCSR000DVK	
wgEncodeEH000962	ENCSR000DVJ	
wgEncodeEH000963	ENCSR000DVS	
wgEncodeEH000964	ENCSR000DVR	
wgEncodeEH000965	ENCSR000DVU	
wgEncodeEH000966	ENCSR000DVT	
wgEncodeEH000967	ENCSR000DWJ	
wgEncodeEH000968	ENCSR000DWI	
wgEncodeEH000969	ENCSR000DWP	
wgEncodeEH000970	ENCSR000DWO	
wgEncodeEH000971	ENCSR000DWS	
wgEncodeEH000972	ENCSR000DWR	
wgEncodeEH000973	ENCSR000DSW	
wgEncodeEH000974	ENCSR000DSV	
wgEncodeEH000975	ENCSR000DPG	
wgEncodeEH000976	ENCSR000DPM	
wgEncodeEH000977	ENCSR000DPP	
wgEncodeEH000978	ENCSR000DPS	
wgEncodeEH000979	ENCSR000DPV	
wgEncodeEH000980	ENCSR000DPY	
wgEncodeEH000981	ENCSR000DTA	
wgEncodeEH000982	ENCSR000DTF	
wgEncodeEH000983	ENCSR000DTL	
wgEncodeEH000984	ENCSR000DTR	
wgEncodeEH000985	ENCSR000DUU	
wgEncodeEH000986	ENCSR000DUX	
wgEncodeEH000987	ENCSR000DVA	
wgEncodeEH000988	ENCSR000DVI	
wgEncodeEH000989	ENCSR000DSU	
wgEncodeEH000997	ENCSR000ANP	
wgEncodeEH000998	ENCSR000ANQ	
wgEncodeEH000999	ENCSR000ANR	
wgEncodeEH001000	ENCSR000ANS	
wgEncodeEH001001	ENCSR000ANT	
wgEncodeEH001002	ENCSR000ANU	
wgEncodeEH001003	ENCSR000ANV	
wgEncodeEH001004	ENCSR000ANW	
wgEncodeEH001005	ENCSR000ANX	
wgEncodeEH001006	ENCSR000ANY	
wgEncodeEH001007	ENCSR000ANZ	
wgEncodeEH001008	ENCSR000AON	
wgEncodeEH001009	ENCSR000AOY	
wgEncodeEH001010	ENCSR000AOZ	
wgEncodeEH001012	ENCSR000AOA	
wgEncodeEH001013	ENCSR000AOB	
wgEncodeEH001014	ENCSR000AOC	
wgEncodeEH001015	ENCSR000AOD	
wgEncodeEH001016	ENCSR000AOE	
wgEncodeEH001017	ENCSR000AOF	
wgEncodeEH001018	ENCSR000AOG	
wgEncodeEH001019	ENCSR000AOH	
wgEncodeEH001020	ENCSR000AOI	
wgEncodeEH001021	ENCSR000AOJ	
wgEncodeEH001022	ENCSR000AOK	
wgEncodeEH001023	ENCSR000AOL	
wgEncodeEH001024	ENCSR000AOM	
wgEncodeEH001026	ENCSR000AOO	
wgEncodeEH001027	ENCSR000AOP	
wgEncodeEH001028	ENCSR000AOQ	
wgEncodeEH001029	ENCSR000AOR	
wgEncodeEH001030	ENCSR000AOS	
wgEncodeEH001031	ENCSR000AOT	
wgEncodeEH001032	ENCSR000AOU	
wgEncodeEH001033	ENCSR000AOV	
wgEncodeEH001034	ENCSR000AOW	
wgEncodeEH001035	ENCSR000AOX	
wgEncodeEH001036	ENCSR000APA	
wgEncodeEH001037	ENCSR000APB	
wgEncodeEH001038	ENCSR000APC	
wgEncodeEH001039	ENCSR000APD	
wgEncodeEH001040	ENCSR000APE	
wgEncodeEH001041	ENCSR000APF	
wgEncodeEH001042	ENCSR000APG	
wgEncodeEH001043	ENCSR000APH	
wgEncodeEH001044	ENCSR000API	
wgEncodeEH001045	ENCSR000APJ	
wgEncodeEH001046	ENCSR000APK	
wgEncodeEH001047	ENCSR000APL	
wgEncodeEH001048	ENCSR000APM	
wgEncodeEH001049	ENCSR000APN	
wgEncodeEH001050	ENCSR000APO	
wgEncodeEH001051	ENCSR000APP	
wgEncodeEH001052	ENCSR000APQ	
wgEncodeEH001053	ENCSR000APR	
wgEncodeEH001054	ENCSR000APS	
wgEncodeEH001055	ENCSR000APT	
wgEncodeEH001056	ENCSR000APU	
wgEncodeEH001057	ENCSR000BEF	
wgEncodeEH001058	ENCSR000BEG	
wgEncodeEH001059	ENCSR000BEH	
wgEncodeEH001060	ENCSR000BEI	
wgEncodeEH001061	ENCSR000BEJ	
wgEncodeEH001062	ENCSR000BEK	
wgEncodeEH001063	ENCSR000BEL	
wgEncodeEH001064	ENCSR000BEM	
wgEncodeEH001065	ENCSR000BEN	
wgEncodeEH001066	ENCSR000BEO	
wgEncodeEH001067	ENCSR000BEP	
wgEncodeEH001068	ENCSR000BEQ	
wgEncodeEH001069	ENCSR000BER	
wgEncodeEH001070	ENCSR000BES	
wgEncodeEH001071	ENCSR000BET	
wgEncodeEH001072	ENCSR000BEU	
wgEncodeEH001073	ENCSR000BEV	
wgEncodeEH001074	ENCSR000BEW	
wgEncodeEH001075	ENCSR000BEX	
wgEncodeEH001076	ENCSR000BEY	
wgEncodeEH001077	ENCSR000BEZ	
wgEncodeEH001078	ENCSR000BFA	
wgEncodeEH001079	ENCSR000CRG	
wgEncodeEH001080	ENCSR000CRH	
wgEncodeEH001081	ENCSR000CRI	
wgEncodeEH001082	ENCSR000CRJ	
wgEncodeEH001083	ENCSR000CRK	
wgEncodeEH001084	ENCSR000CRL	
wgEncodeEH001087	ENCSR000CRO	
wgEncodeEH001088	ENCSR000CRP	
wgEncodeEH001089	ENCSR000CRQ	
wgEncodeEH001090	ENCSR000CRR	
wgEncodeEH001091	ENCSR000CRS	
wgEncodeEH001092	ENCSR000CRT	
wgEncodeEH001093	ENCSR000CRU	
wgEncodeEH001094	ENCSR000CRV	
wgEncodeEH001095	ENCSR000EIE	
wgEncodeEH001096	ENCSR000EKU	
wgEncodeEH001097	ENCSR000EKT	
wgEncodeEH001098	ENCSR000ELJ	
wgEncodeEH001099	ENCSR000ELM	
wgEncodeEH001100	ENCSR000EJA	
wgEncodeEH001101	ENCSR000EJW	
wgEncodeEH001102	ENCSR000ELK	
wgEncodeEH001103	ENCSR000EID	
wgEncodeEH001104	ENCSR000EIM	
wgEncodeEH001105	ENCSR000EKC	
wgEncodeEH001106	ENCSR000EJX	
wgEncodeEH001107	ENCSR000EJU	
wgEncodeEH001108	ENCSR000ELR	
wgEncodeEH001109	ENCSR000ELT	
wgEncodeEH001110	ENCSR000EKH	
wgEncodeEH001111	ENCSR000EKD	
wgEncodeEH001112	ENCSR000EKE	
wgEncodeEH001113	ENCSR000ELV	
wgEncodeEH001114	ENCSR000ELU	
wgEncodeEH001115	ENCSR000DBT	
wgEncodeEH001116	ENCSR000DBZ	
wgEncodeEH001117	ENCSR000DCA	
wgEncodeEH001118	ENCSR000DCT	
wgEncodeEH001119	ENCSR000DBX	
wgEncodeEH001120	ENCSR000DCL	
wgEncodeEH001121	ENCSR000DCK	
wgEncodeEH001122	ENCSR000DDE	
wgEncodeEH001123	ENCSR000DDD	
wgEncodeEH001124	ENCSR000DCI	
wgEncodeEH001125	ENCSR000DCS	
wgEncodeEH001126	ENCSR000DBS	
wgEncodeEH001127	ENCSR000DKL	
wgEncodeEH001128	ENCSR000DKK	
wgEncodeEH001129	ENCSR000DKO	
wgEncodeEH001130	ENCSR000DMT	
wgEncodeEH001131	ENCSR000DMS	
wgEncodeEH001132	ENCSR000DMR	
wgEncodeEH001133	ENCSR000DMQ	
wgEncodeEH001134	ENCSR000DMP	
wgEncodeEH001135	ENCSR000DKN	
wgEncodeEH001136	ENCSR000DKM	
wgEncodeEH001137	ENCSR685MHU	
wgEncodeEH001138	ENCSR000CJB	
wgEncodeEH001139	ENCSR000CJC	
wgEncodeEH001140	ENCSR000CJD	
wgEncodeEH001141	ENCSR000CJE	
wgEncodeEH001142	ENCSR000CJF	
wgEncodeEH001143	ENCSR000CJG	
wgEncodeEH001144	ENCSR000CJH	
wgEncodeEH001145	ENCSR000CJI	
wgEncodeEH001146	ENCSR000CJJ	
wgEncodeEH001147	ENCSR000CJK	
wgEncodeEH001148	ENCSR000CJL	
wgEncodeEH001149	ENCSR000CJM	
wgEncodeEH001150	ENCSR000CJN	
wgEncodeEH001151	ENCSR000CJO	
wgEncodeEH001152	ENCSR000CJP	
wgEncodeEH001153	ENCSR000CJQ	
wgEncodeEH001154	ENCSR000CJR	
wgEncodeEH001155	ENCSR000CJS	
wgEncodeEH001156	ENCSR000CJT	
wgEncodeEH001157	ENCSR000CJU	
wgEncodeEH001158	ENCSR000CJV	
wgEncodeEH001159	ENCSR000CJW	
wgEncodeEH001160	ENCSR000CJX	
wgEncodeEH001161	ENCSR000EMC	
wgEncodeEH001162	ENCSR000ENM	
wgEncodeEH001163	ENCSR000EOD	
wgEncodeEH001164	ENCSR000ENI	
wgEncodeEH001165	ENCSR000ENK	
wgEncodeEH001166	ENCSR000ENW	
wgEncodeEH001167	ENCSR000EOE	
wgEncodeEH001168	ENCSR000ENY	
wgEncodeEH001169	ENCSR000ENZ	
wgEncodeEH001170	ENCSR000EOA	
wgEncodeEH001171	ENCSR000EOB	
wgEncodeEH001172	ENCSR000EOC	
wgEncodeEH001173	ENCSR000EOH	
wgEncodeEH001174	ENCSR000EOJ	
wgEncodeEH001175	ENCSR000EOI	
wgEncodeEH001176	ENCSR000EOR	
wgEncodeEH001177	ENCSR000EPO	
wgEncodeEH001178	ENCSR000ENE	
wgEncodeEH001179	ENCSR000EPM	
wgEncodeEH001180	ENCSR000ELW	
wgEncodeEH001181	ENCSR000EMD	
wgEncodeEH001182	ENCSR000EMR	
wgEncodeEH001183	ENCSR000ENB	
wgEncodeEH001184	ENCSR000ENT	
wgEncodeEH001185	ENCSR000EOO	
wgEncodeEH001186	ENCSR000EOP	
wgEncodeEH001187	ENCSR000EPF	
wgEncodeEH001188	ENCSR000EPW	
wgEncodeEH001189	ENCSR000EPY	
wgEncodeEH001190	ENCSR000EQL	
wgEncodeEH001191	ENCSR000ENA	
wgEncodeEH001192	ENCSR000ENC	
wgEncodeEH001193	ENCSR000ENQ	
wgEncodeEH001194	ENCSR000ENR	
wgEncodeEH001195	ENCSR000EOM	
wgEncodeEH001196	ENCSR000EPK	
wgEncodeEH001197	ENCSR000EQN	
wgEncodeEH001198	ENCSR000EQM	
wgEncodeEH001199	ENCSR935KWW	
