accession	encodeDAccession	notes
wgEncodeEH000132	ENCSR643QIZ	
wgEncodeEH000133	ENCSR654UPQ	
wgEncodeEH000134	ENCSR552EGO	
wgEncodeEH000135	ENCSR329MHM	
wgEncodeEH000136	ENCSR270XRV	
wgEncodeEH000137	ENCSR077AZT	
wgEncodeEH000138	ENCSR962TBJ	
wgEncodeEH000276	ENCSR958WRL	
wgEncodeEH000277	ENCSR941PPN	
wgEncodeEH000278	ENCSR581QOP	
wgEncodeEH000848	ENCSR091VCC	
wgEncodeEH000849	ENCSR325MLD	
wgEncodeEH000850	ENCSR619SWI	
wgEncodeEH000851	ENCSR327QEW	
wgEncodeEH000852	ENCSR600JXS	
wgEncodeEH000880	ENCSR075FJH	
wgEncodeEH000881	ENCSR154HBE	
wgEncodeEH000882	ENCSR229IUN	
wgEncodeEH000883	ENCSR219ZKW	
wgEncodeEH000884	ENCSR436AZT	
wgEncodeEM001962	ENCSR697MML	
wgEncodeEM001983	ENCSR125ZWM	
wgEncodeEH000002	ENCSR000AWA	
wgEncodeEH000003	ENCSR000AWB	
wgEncodeEH000004	ENCSR000AWC	
wgEncodeEH000005	ENCSR000AWD	
wgEncodeEH000006	ENCSR000AWE	
wgEncodeEH000007	ENCSR000AWF	
wgEncodeEH000008	ENCSR000AWG	
wgEncodeEH000009	ENCSR000AWH	
wgEncodeEH000010	ENCSR000AWI	
wgEncodeEH000011	ENCSR000AWJ	
wgEncodeEH000012	ENCSR000AWK	
wgEncodeEH000013	ENCSR000AWL	
wgEncodeEH000014	ENCSR000AWM	
wgEncodeEH000015	ENCSR000AWN	
wgEncodeEH000016	ENCSR000AWO	
wgEncodeEH000017	ENCSR000AWP	
wgEncodeEH000018	ENCSR000AWQ	
wgEncodeEH000019	ENCSR000AWR	
wgEncodeEH000020	ENCSR000AWS	
wgEncodeEH000021	ENCSR000AWT	
wgEncodeEH000022	ENCSR000AWU	
wgEncodeEH000023	ENCSR000AWV	
wgEncodeEH000024	ENCSR000AWW	
wgEncodeEH000025	ENCSR000AWX	
wgEncodeEH000026	ENCSR000AWY	
wgEncodeEH000027	ENCSR000AWZ	
wgEncodeEH000028	ENCSR000AKA	
wgEncodeEH000029	ENCSR000AKB	
wgEncodeEH000030	ENCSR000AKC	
wgEncodeEH000031	ENCSR000AKD	
wgEncodeEH000032	ENCSR000AKE	
